,minutes,min_per_fga,min_per_fg3a,min_per_fta,min_per_orb,min_per_drb,min_per_ast,min_per_stl,min_per_blk,min_per_tov,min_per_pf
16654,35.166666666666664,4.395833333333333,9.977976210845455,11.722222222222221,5.023809523809524,8.791666666666666,19.30128205128205,11.722222222222221,11.722222222222221,19.967261904761905,11.722222222222221
16655,31.7,3.17,3.522222222222222,9.65462962962963,12.938888888888888,31.7,31.7,15.85,13.052777777777777,31.7,15.85
16656,25.75,3.21875,6.4375,6.4375,22.37007575757576,12.875,3.21875,12.875,18.817592592592593,25.75,6.4375
16657,18.783333333333335,1.7075757575757577,4.695833333333334,9.391666666666667,9.391666666666667,4.695833333333334,9.391666666666667,18.980555555555558,21.638020833333336,18.783333333333335,18.783333333333335
16658,12.916666666666666,2.583333333333333,4.305555555555555,9.016705246913578,12.916666666666666,9.353779419813902,12.95108024691358,16.569097222222222,12.916666666666666,6.458333333333333,4.305555555555555
16659,7.816666666666666,3.908333333333333,9.03466666666667,8.326763888888888,12.326282051282051,7.816666666666666,3.908333333333333,9.82563775510204,15.192857142857141,10.24201388888889,9.677925925925924
16660,49.88333333333333,2.625438596491228,16.627777777777776,5.542592592592593,9.976666666666667,4.534848484848485,16.627777777777776,27.58611111111111,49.88333333333333,17.900622895622895,24.941666666666666
16661,47.88333333333333,3.192222222222222,6.84047619047619,15.96111111111111,47.88333333333333,5.985416666666667,47.88333333333333,9.576666666666666,30.908333333333335,19.436317966903076,11.970833333333333
16662,47.666666666666664,1.5888888888888888,3.6666666666666665,2.9791666666666665,28.73134057971014,47.666666666666664,3.6666666666666665,23.833333333333332,37.099999999999994,6.809523809523809,47.666666666666664
16663,47.63333333333333,3.664102564102564,7.938888888888889,23.816666666666666,47.63333333333333,23.816666666666666,7.938888888888889,25.902491830065358,47.63333333333333,23.816666666666666,11.908333333333333
16664,14.616666666666667,6.8025849206349225,17.612962962962964,7.5808933295540415,14.616666666666667,4.872222222222223,17.406584362139913,15.872916666666669,14.616666666666667,15.995686274509804,14.616666666666667
16665,32.68333333333333,2.723611111111111,6.536666666666666,32.68333333333333,11.36460905349794,4.085416666666666,18.19611111111111,14.401574074074073,6.536666666666666,8.170833333333333,5.447222222222222
16666,27.416666666666668,3.4270833333333335,14.60978098290598,8.882612662337666,24.009027777777778,9.13888888888889,4.569444444444445,27.416666666666668,25.602631578947364,14.72433226495726,27.416666666666668
16667,8.766666666666667,2.9222222222222225,8.766666666666667,8.15752314814815,4.383333333333334,4.383333333333334,10.80116487455197,13.479999999999999,13.107142857142858,8.766666666666667,2.191666666666667
16668,6.533333333333333,2.1777777777777776,3.2666666666666666,10.537929292929292,6.533333333333333,11.007234848484849,12.84562757201646,6.533333333333333,19.038888888888888,18.239957264957262,9.949457364341088
16669,4.383333333333334,1.4611111111111112,2.191666666666667,8.4875,15.825,7.352322373393802,8.951521739130435,12.126851851851852,18.654166666666665,12.909722222222223,10.029282407407406
16671,39.916666666666664,1.9007936507936507,3.9916666666666663,6.652777777777778,30.092473118279575,39.916666666666664,4.989583333333333,13.305555555555555,39.916666666666664,4.435185185185185,39.916666666666664
16672,36.85,3.35,36.85,12.213844086021505,9.2125,6.141666666666667,15.592575757575759,36.85,21.481944444444444,18.425,12.283333333333333
16673,31.85,3.538888888888889,7.9625,10.616666666666667,15.925,15.925,4.55,31.85,28.96190476190476,17.04072975517891,15.925
16674,31.15,3.461111111111111,15.575,15.575,15.575,6.2299999999999995,7.7875,31.15,17.031666666666666,14.356597222222224,10.383333333333333
16675,29.0,2.0714285714285716,3.625,29.0,29.0,29.0,13.202160493827158,21.636666666666663,29.0,29.0,4.833333333333333
16676,26.2,2.62,6.55,11.448366702741701,26.2,5.24,8.733333333333333,20.150537634408604,25.483333333333334,26.2,13.1
16677,19.2,4.8,9.6,9.687499999999998,19.2,6.3999999999999995,19.2,15.862878787878786,15.266666666666666,9.6,10.078648989898987
16678,18.8,2.685714285714286,18.8,4.7,6.266666666666667,4.7,14.94469696969697,18.8,28.808333333333337,9.4,3.7600000000000002
16679,7.033333333333333,2.3444444444444446,10.43510101010101,7.033333333333333,15.307738095238095,7.033333333333333,8.567095959595962,7.033333333333333,7.033333333333333,7.033333333333333,3.5166666666666666
16680,36.583333333333336,2.8141025641025643,36.18888888888889,3.6583333333333337,12.194444444444445,5.226190476190476,3.6583333333333337,9.145833333333334,27.114682539682544,5.226190476190476,12.194444444444445
16681,30.816666666666666,1.8127450980392157,10.272222222222222,2.2011904761904764,5.136111111111111,5.136111111111111,6.163333333333333,10.272222222222222,7.704166666666667,7.704166666666667,7.704166666666667
16682,30.483333333333334,3.3870370370370373,15.241666666666667,15.241666666666667,27.310307017543867,10.161111111111111,7.620833333333334,28.55952380952381,26.35471014492754,30.483333333333334,15.241666666666667
16683,30.266666666666666,5.044444444444444,15.133333333333333,14.202708333333334,30.266666666666666,5.044444444444444,15.133333333333333,25.714839181286553,15.133333333333333,24.680303030303033,15.133333333333333
16684,13.116666666666667,2.6233333333333335,6.558333333333334,10.425784313725488,13.116666666666667,12.325861111111113,6.558333333333334,13.116666666666667,24.486666666666668,13.116666666666667,13.116666666666667
16685,31.566666666666666,1.8568627450980393,2.8696969696969696,31.566666666666666,31.566666666666666,7.891666666666667,15.783333333333333,10.522222222222222,19.225,15.783333333333333,13.956565656565656
16686,19.133333333333333,9.566666666666666,8.724867450383753,4.783333333333333,26.59835390946502,14.917533068783067,9.566666666666666,19.133333333333333,25.65072463768116,19.133333333333333,6.377777777777777
16687,18.133333333333333,3.6266666666666665,4.533333333333333,18.133333333333333,18.133333333333333,16.100694444444443,18.133333333333333,13.80606368563686,16.64044444444444,16.447569444444447,9.066666666666666
16688,17.716666666666665,4.429166666666666,8.858333333333333,10.54970238095238,17.716666666666665,5.905555555555555,17.716666666666665,16.138020833333332,23.136666666666667,17.575757575757578,13.002216183574877
